Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2024,Fall,Heinz College,AEM,93703,A,"CRAWFORD, BRETT",ARTS ENT: STR & STR,Graduate,35,32,91.4,9.25,4.66,4.31,4.44,4.31,4.72,4.53,4.72,4.41,4.47
2024,Fall,Heinz College,AEM,93704,A1,"MCMAHON, J",LEAD COMPLEX ART ORG,Graduate,13,10,76.9,4.7,4.4,4.1,4.2,3.9,4.4,4.5,4.6,4.1,4.1
2024,Fall,Heinz College,AEM,93717,A1,"ROSENBERG, STACY",WRTG CREAT INDUS,Graduate,14,12,85.7,6.25,4.75,4.67,4.75,4.67,4.83,4.83,4.83,4.58,4.42
2024,Fall,Heinz College,AEM,93717,C1,"ROSENBERG, STACY",WRTG CREAT INDUS,Graduate,17,11,64.7,8.82,4.36,4.45,4.64,4.45,4.73,4.64,4.64,4.55,4.36
2024,Fall,Heinz College,AEM,93717,B2,"MASSARO, HAYLEE",WRTG CREAT INDUS,Graduate,23,19,82.6,6.89,4.79,4.84,4.79,4.89,4.63,4.74,4.89,4.63,4.63
2024,Fall,Heinz College,AEM,93807,A1,"REARICK, RACHEL",MUSEUM OPERATIONS,Graduate,20,19,95,6.58,4.58,4.53,4.47,4.26,4.63,4.68,5,4.42,4.26
2024,Fall,Heinz College,AEM,93811,A2,"CRAWFORD, BRETT",PERFORMING ARTS OPS,Graduate,11,10,90.9,7.7,4.7,4.4,4.5,4.7,4.8,4.5,4.8,4.8,4.5
2024,Fall,Heinz College,AEM,93828,A2,"HORTON, MICHELLE",ADV TPCS FUNDRAISING,Graduate,12,8,66.7,5.75,4.88,4.5,4.75,4.75,5,5,5,4.75,4.63
2024,Fall,Heinz College,AEM,93828,A2,"MCMAHON, JAMIE",ADV TPCS FUNDRAISING,Graduate,12,8,66.7,5.75,5,4.57,4.86,5,5,5,5,4.86,4.71
2024,Fall,Heinz College,AEM,93830,A1,"CRAWFORD, BRETT",TECH TRANSFORM ARTS,Graduate,30,29,96.7,8.41,4.76,4.55,4.55,4.41,4.76,4.59,4.79,4.69,4.59
